sku,description,ean,mpn,brand,title,promo_price,promo_qty,promo_expiry,currency,url,crawl_time,current_price,promo_data,model,retailer_sku_code,upc,price
,,,,,Samsung GALAXY A5 Dual SIM SM-A5000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-a5-unlocked-lte-16gb-black-270607/,,,,,,,
,,,,,Huawei Ascend Mate7 MT7-L09 ,,,,,http://www.expansys.com.sg/huawei-ascend-mate7-unlocked-16gb-silver-269403/,,,,,,,
,,,,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,,,,,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-64gb-purple-282088/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-gold-282804/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-a1687-unlocked-16gb-space-gray-282742/,,,,,,,
,,,,,Google Nexus 5X LG-H798 ,,,,,http://www.expansys.com.sg/google-nexus-5x-unlocked-32gb-quartz-white-284565/,,,,,,,
,,,,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,,,,,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-pure-white-282026/,,,,,,,
,,,,,Samsung GALAXY E7 Dual-SIM SM-E7000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-e7-dual-sim-sm-e7000-unlocked-lte-16gb-white-275649/,,,,,,,
,,,,,Apple iPhone 6 Plus A1524 ,,,,,http://www.expansys.com.sg/apple-iphone-6-plus-a1524-unlocked-16gb-silver-265934/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-16gb-rose-gold-282853/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-silver-282801/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-a1687-unlocked-64gb-space-gray-282810/,,,,,,,
,,,,,LG G3 D855 ,,,,,http://www.expansys.com.sg/lg-g3-d855-unlocked-lte-32gb-moon-violet-264336/,,,,,,,
,,,,,LG G3 Dual LG-D858HK ,,,,,http://www.expansys.com.sg/lg-g3-dual-d858-unlocked-lte-32gb-silk-white-266664/,,,,,,,
,,,,,Apple iPhone 6 Plus A1524 ,,,,,http://www.expansys.com.sg/apple-iphone-655-release-date-specs-rumours-news-264393/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-128gb-space-gray-282833/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-space-gray-282740/,,,,,,,
,,,,,LG G3 Dual LG-D858HK ,,,,,http://www.expansys.com.sg/lg-g3-dual-d858-unlocked-lte-32gb-shine-gold-266663/,,,,,,,
,,,,,Samsung Galaxy S6 edge SM-G9250 ,,,,,http://www.expansys.com.sg/samsung-galaxy-s6-edge-unlocked-lte-32gb-white-pearl-276199/,,,,,,,
,,,,,LG G3 D855 ,,,,,http://www.expansys.com.sg/lg-g3-d855-unlocked-lte-32gb-metallic-black-262971/,,,,,,,
,,,,,Apple iPhone 6 Plus A1524 ,,,,,http://www.expansys.com.sg/apple-iphone-6-plus-a1524-unlocked-16gb-gold-265935/,,,,,,,
,,,,,Google Nexus 6P H1512 ,,,,,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-32gb-frost-white-285892/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-16gb-gold-282848/,,,,,,,
,,,,,LG G3 D855 ,,,,,http://www.expansys.com.sg/lg-g3-d855-unlocked-lte-32gb-silk-white-262972/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-rose-gold-282809/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-16gb-silver-282835/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-space-gray-282798/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-128gb-silver-282846/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-16gb-silver-267506/,,,,,,,
,,,,,Apple iPad Pro A1652 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1652-lte-128gb-silver-285854/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-silver-282800/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-gold-282806/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-silver-282802/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-64gb-gold-267520/,,,,,,,
,,,,,Apple iPad Pro A1652 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1652-lte-128gb-space-gray-285852/,,,,,,,
,,,,,Samsung Galaxy Tab S2 8.0 SM-T715C ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-80-sm-t715-lte-32gb-gold-280808/,,,,,,,
,,,,,Samsung Galaxy Tab S2 8.0 SM-T710 ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-80-sm-t710-wifi-32gb-white-280804/,,,,,,,
,,,,,Samsung Galaxy Tab S2 9.7 SM-T810 ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t810-wifi-32gb-white-280810/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-32gb-space-gray-285784/,,,,,,,
,,,,,Samsung Galaxy Tab S2 8.0 SM-T710 ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-80-sm-t710-wifi-32gb-black-280762/,,,,,,,
,,,,,Samsung Galaxy Tab S2 8.0 SM-T715C ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-80-sm-t715-lte-32gb-white-280807/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-16gb-gold-267508/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-64gb-silver-267518/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-64gb-gold-267511/,,,,,,,
,,,,,Samsung GALAXY Tab 4 7.0 SM-T231 ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-470-sm-t231-unlocked-3g-8gb-black-263938/,,,,,,,
